Asset #,Asset Description,Category Description,Sub-Category Description,Status Description,Site,Building,Location,Account Description,Location Description,Manufacturer Name,Model Number,Manufacturer Serial Number,Date Accepted,Cost Basis,Warranty End Date,
1056935,"Physiologic Monitor Modules, Exhaled Carbon Dioxide",Physiologic Monitor Modules,"Physiologic Monitor Modules, Exhaled Carbon Dioxide",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867041 - Microstream Extension,DE69761560,10-1-20 12:00 AM,,10-5-21 12:00 AM,
1056936,"Physiologic Monitor Modules, Exhaled Carbon Dioxide",Physiologic Monitor Modules,"Physiologic Monitor Modules, Exhaled Carbon Dioxide",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867041 - Microstream Extension,DE69761600,10-1-20 12:00 AM,,10-5-21 12:00 AM,
1056943,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,11S,Nursing 11S Medicine,,STRYKER CORP,3005S3,200703537,10-8-20 12:00 AM,,10-7-22 12:00 AM,
1056944,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,11S,Nursing 11S Medicine,,STRYKER CORP,3005S3,200703545,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056945,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,11S,Nursing 11S Medicine,,STRYKER CORP,3005S3,200703554,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056946,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,11N,Nursing 11N Medicine,,STRYKER CORP,3005S3,200703563,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056947,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,12S,Nursing 12S Medicine,,STRYKER CORP,3005S3,200703538,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056948,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,12S,Nursing 12S Medicine,,STRYKER CORP,3005S3,200703549,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056949,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,12S,Nursing 12S Medicine,,STRYKER CORP,3005S3,200703555,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056950,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,12S,Nursing 12S Medicine,,STRYKER CORP,3005S3,200703564,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056951,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,12S,Nursing 12S Medicine,,STRYKER CORP,3005S3,200703541,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056952,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,12S,Nursing 12S Medicine,,STRYKER CORP,3005S3,200703550,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056953,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,12S,Nursing 12S Medicine,,STRYKER CORP,3005S3,200703561,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056954,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,12S,Nursing 12S Medicine,,STRYKER CORP,3005S3,200703566,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056955,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,14S,Nursing 14S Medicine,,STRYKER CORP,3005S3,200703542,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056956,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,14S,Nursing 14S Medicine,,STRYKER CORP,3005S3,200703551,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056957,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,14S,Nursing 14S Medicine,,STRYKER CORP,3005S3,200703562,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056958,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,14S,Nursing 14S Medicine,,STRYKER CORP,3005S3,200703567,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056959,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703536,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056960,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703546,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056961,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703556,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056962,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703568,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056963,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703539,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056964,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703547,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056965,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703558,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056966,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703569,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056967,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,11S,Nursing 11S Medicine,11 South,STRYKER CORP,3005S3,200703481,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056968,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703548,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056969,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703559,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056970,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703543,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056971,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703552,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056972,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703560,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056973,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703544,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056974,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,1,COVID-19,,STRYKER CORP,3005S3,200703553,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056975,"Beds, Electric",Beds,"Beds, Electric",Active,MSH,MSH,11N,Nursing 11N Medicine,11th Floor - North Side,STRYKER CORP,3005S3,200703565,10-8-20 12:00 AM,,10-8-21 12:00 AM,
1056978,COMPRESSION UNITS,COMPRESSION UNITS,COMPRESSION UNITS,Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR,KENDALL HEALTHCARE PRODUCTS CO,SCD 700,V1946513SX,10-8-20 12:00 AM,,,
1056979,Infant T-Piece Resuscitator,Infant T-Piece Resuscitator,Infant T-Piece Resuscitator,Active,MSH,MSH,17U,NICU,NICU,FISHER & PAYKEL MEDICAL INC,RD900AEU,101110003666,8-13-13 12:00 AM,1500.00,8-13-14 12:00 AM,
1056984,Ultrasound - POCUS,Scanning Systems,"Scanning Systems, Ultrasonic",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR,Mindray,TE7,CD7-06003631,10-8-20 12:00 AM,,10-9-25 12:00 AM,
1056986,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9471,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1056992,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9479,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1056993,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9482,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1056994,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9701,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1056995,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9826,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1056996,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9842,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1056997,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9477,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1056998,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9691,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1056999,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9703,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057000,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9716,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057001,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9469,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057002,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9718,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057003,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9719,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057004,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,10S,Coronary Care Unit ,CCU,Philips Healthcare,867030 - X3,DE694D9722,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057005,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9724,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057006,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,10S,Coronary Care Unit ,CCU,Philips Healthcare,867030 - X3,DE694D9729,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057007,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9733,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057008,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9734,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057009,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9736,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057010,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9737,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057012,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9833,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057013,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9835,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057014,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9840,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057015,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9841,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057016,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9851,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057017,VITAL SIGNS MONITORS,VITAL SIGNS MONITORS,VITAL SIGNS MONITORS,Active,MSH,MSH,3,Emergency,Emergency,Welch Allyn,75ME,(21) 100012413920,10-9-20 12:00 AM,,10-13-22 12:00 AM,
1057018,"Thermometers, Electronic, Infrared, Ear",Thermometers,"Thermometers, Electronic, Infrared, Ear",Active,MSH,MSH,3,Emergency,Emergency,B.BRAUN,PRO 6000,22520k60504,10-9-20 12:00 AM,,10-13-21 12:00 AM,
1057021,"Thermometers, Electronic, Infrared, Ear",Thermometers,"Thermometers, Electronic, Infrared, Ear",Active,MSH,MSH,3,Emergency,Emergency,B.BRAUN,PRO 6000,22920k60505,10-9-20 12:00 AM,,10-13-21 12:00 AM,
1057023,VITAL SIGNS MONITORS,VITAL SIGNS MONITORS,VITAL SIGNS MONITORS,Active,MSH,MSH,3,Emergency,Emergency,Welch Allyn,75ME,(21) 100012323920,10-9-20 12:00 AM,,10-13-22 12:00 AM,
1057024,VITAL SIGNS MONITORS,VITAL SIGNS MONITORS,VITAL SIGNS MONITORS,Active,MSH,MSH,3,Emergency,Emergency,Welch Allyn,75ME,(21) 100012333920,10-9-20 12:00 AM,,10-13-22 12:00 AM,
1057025,"Thermometers, Electronic, Infrared, Ear",Thermometers,"Thermometers, Electronic, Infrared, Ear",Active,MSH,MSH,3,Emergency,Emergency,B.BRAUN,PRO 6000,22620k60149,10-9-20 12:00 AM,,10-13-21 12:00 AM,
1057026,"Thermometers, Electronic, Infrared, Ear",Thermometers,"Thermometers, Electronic, Infrared, Ear",Active,MSH,MSH,3,Emergency,Emergency,B.BRAUN,PRO 6000,22620k60095,10-9-20 12:00 AM,,10-13-21 12:00 AM,
1057027,VITAL SIGNS MONITORS,VITAL SIGNS MONITORS,VITAL SIGNS MONITORS,Active,MSH,MSH,3,Emergency,Emergency,Welch Allyn,75ME,(21) 100010643920,10-9-20 12:00 AM,,10-13-22 12:00 AM,
1057028,"Power Systems, Uninterruptible",Power Systems,"Power Systems, Uninterruptible",Active,MSH,MSH,15U,Obstetrical Suite (L&D),Room 14-B11-1,TRIPP LITE,Smart500RT1U,2419AY0SM880800306,8-12-14 12:00 AM,461.00,8-12-15 12:00 AM,
1057032,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,16M,Mother & Baby,16th Floor - Murray Side,MASIMO,Radical-7,1000189769,6-17-20 12:00 AM,2774.00,6-17-21 12:00 AM,
1057033,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,16M,Mother & Baby,16th Floor - Murray Side,MASIMO,Root,2000152654,6-17-20 12:00 AM,,6-17-21 12:00 AM,
1057034,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Root,2000082099,6-17-20 12:00 AM,,6-17-21 12:00 AM,
1057035,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Radical-7,1000187713,6-17-20 12:00 AM,2774.00,6-17-21 12:00 AM,
1057036,"Monitors, Physiologic, Patient Transport","Monitors, Physiologic","Monitors, Physiologic, Patient Transport",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,867030 - X3,DE694D9732,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057037,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,16M,Mother & Baby,16th Floor - Murray Side,MASIMO,Radical-7,100189650,6-17-20 12:00 AM,2774.00,6-17-21 12:00 AM,
1057038,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,16M,Mother & Baby,16th Floor - Murray Side,MASIMO,Root,2000081953,6-17-20 12:00 AM,,6-17-21 12:00 AM,
1057039,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,16M,Mother & Baby,16th Floor - Murray Side,MASIMO,Root,2000080921,6-17-20 12:00 AM,,6-17-21 12:00 AM,
1057040,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,16M,Mother & Baby,16th Floor - Murray Side,MASIMO,Radical-7,1000189729,6-17-20 12:00 AM,2774.00,6-17-21 12:00 AM,
1057041,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Radical-7,1000189674,6-17-20 12:00 AM,2774.00,6-17-21 12:00 AM,
1057042,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Root,2000082114,6-17-20 12:00 AM,,6-17-21 12:00 AM,
1057043,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Root,2000082127,6-17-20 12:00 AM,,6-17-21 12:00 AM,
1057044,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Radical-7,1000189506,6-17-20 12:00 AM,2774.00,6-17-21 12:00 AM,
1057045,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Radical-7,1000189646,6-17-20 12:00 AM,2774.00,6-17-21 12:00 AM,
1057046,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Root,2000115581,6-17-20 12:00 AM,,6-17-21 12:00 AM,
1057047,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,16M,Mother & Baby,16th Floor - Murray Side,MASIMO,Root,2000081919,6-17-20 12:00 AM,,6-17-21 12:00 AM,
1057048,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,16M,Mother & Baby,16th Floor - Murray Side,MASIMO,Radical-7,1000189798,6-17-20 12:00 AM,2774.00,6-17-21 12:00 AM,
1057049,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Radical-7,1000187459,6-17-20 12:00 AM,2774.00,6-17-21 12:00 AM,
1057050,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Root,2000081920,6-17-20 12:00 AM,,6-17-21 12:00 AM,
1057051,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Root,2000183117,6-17-20 12:00 AM,,6-17-21 12:00 AM,
1057052,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Radical-7,1000189622,6-17-20 12:00 AM,2774.00,6-17-21 12:00 AM,
1057054,Workstations,Workstations,Workstations,Active,MSH,MSH,12N,JDMI - Mammography,MSH BI RAD REVIEW ROOM 12th Floor - North Side,Hologic,SecurView Diagnostic,9780319D0330,5-4-20 12:00 AM,,,
1057055,Workstations,Workstations,Workstations,Active,MSH,MSH,12N,JDMI - Mammography,MSH BI RAD REVIEW ROOM  POSITION 2  12th Floor - North Side  ,Hologic,SecurView Diagnostic,9780319D0331,5-4-20 12:00 AM,,,
1057056,Workstations,Workstations,Workstations,Active,MSH,MSH,12N,JDMI - Mammography,MSH BI RAD REVIEW ROOM 12th Floor - North Side,Hologic,SecurView Diagnostic,9780222D1056,5-4-20 12:00 AM,,,
1057057,"Server, Imaging",Server,"Server, Imaging",Active,MSH,MSH,5,JDMI - Mammography,MSH 5 JDMIPACS SERVER ROOM,Hologic,Cenova CAD,1,5-4-20 12:00 AM,,,
1057058,"Server, Imaging",Server,"Server, Imaging",Active,MSH,MSH,5,JDMI - Mammography,MSH 5 JDMIPACS SERVER ROOM,Hologic,Cenova CAD,2,5-4-20 12:00 AM,,,
1057059,"Server, Imaging",Server,"Server, Imaging",Active,MSH,MSH,5,JDMI - Mammography,MSH 5 JDMIPACS SERVER ROOM,Hologic,SecurXchange,1,5-4-20 12:00 AM,,,
1057060,"Server, Imaging  MSH BI  HOLOGIIC SVDX MGR SERVER",Server,"Server, Imaging",Active,MSH,MSH,5,JDMI - Mammography,MSH 5 JDMIPACS SERVER ROOM,Hologic,SVDX - SecurView SVDX,1,5-4-20 12:00 AM,,,
1057083,"Warming Units, Patient, Forced-Air",Warming Units,"Warming Units, Patient, Forced-Air",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),7th Floor,STRYKER CORP,MA1200-PM,211036572,10-22-20 12:00 AM,,,
1057103,Power Supplies,Power Supplies,Power Supplies,Active,MSH,MSH,3,Emergency,3rd (Main) Floor,Philips Healthcare,867043,PL43228969,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057104,Power Supplies,Power Supplies,Power Supplies,Active,MSH,MSH,3,Emergency,3rd (Main) Floor,Philips Healthcare,867043,PL43228926,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057105,Power Supplies,Power Supplies,Power Supplies,Active,MSH,MSH,3,Emergency,3rd (Main) Floor,Philips Healthcare,867043,PL43228839,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057106,Power Supplies,Power Supplies,Power Supplies,Active,MSH,MSH,17U,NICU,17 - University,Philips Healthcare,867043,PL43228837,10-1-20 12:00 AM,,10-1-21 12:00 AM,
1057108,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,17M,Nursing 14N Surgery,17 - Murray,MASIMO,Root,2000082100,6-10-20 12:00 AM,,6-10-21 12:00 AM,
1057109,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,17M,Nursing 14N Surgery,17 - Murray,MASIMO,Radical-7,1000189639,6-10-20 12:00 AM,2774.00,6-10-21 12:00 AM,
1057110,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,16M,Mother & Baby,16th Floor - Murray Side,MASIMO,Radical-7,1000189532,6-10-20 12:00 AM,2774.00,6-10-21 12:00 AM,
1057111,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,16M,Mother & Baby,16th Floor - Murray Side,MASIMO,Root,2000058902,6-10-20 12:00 AM,,6-10-21 12:00 AM,
1057112,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Root,2000081930,6-10-20 12:00 AM,,6-10-21 12:00 AM,
1057113,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Radical-7,1000189590,6-10-20 12:00 AM,2774.00,6-10-21 12:00 AM,
1057114,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,16M,Mother & Baby,16th Floor - Murray Side,MASIMO,Radical-7,1000189541,6-10-20 12:00 AM,2774.00,6-10-21 12:00 AM,
1057115,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,16M,Mother & Baby,16th Floor - Murray Side,MASIMO,Root,2000082117,6-10-20 12:00 AM,,6-10-21 12:00 AM,
1057116,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,16M,Mother & Baby,16th Floor - Murray Side,MASIMO,Root,2000082126,6-10-20 12:00 AM,,6-10-21 12:00 AM,
1057117,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,16M,Mother & Baby,16th Floor - Murray Side,MASIMO,Radical-7,1000189549,6-10-20 12:00 AM,2774.00,6-10-21 12:00 AM,
1057118,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Radical-7,1000189586,6-10-20 12:00 AM,2774.00,6-10-21 12:00 AM,
1057119,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,15th Floor - Murray Side,MASIMO,Root,2000082124,6-10-20 12:00 AM,,6-10-21 12:00 AM,
1057120,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,11S,Nursing 11S Medicine,11th Floor - South Side,MASIMO,Root,2000081929,6-10-20 12:00 AM,,6-10-21 12:00 AM,
1057121,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,BH,BH,4N,Bridgepoint,4th Floor - North Side,MASIMO,Radical-7,1000189445,6-10-20 12:00 AM,2774.00,6-10-21 12:00 AM,
